img	city	Latitude	Longitude
https://drive.google.com/u/0/open?usp=forms_web&id=1mMEW7Kih8k5ln-m-Foh4-ec-vYjbcvP0	Undefined, US	39.7837304	-100.445882
https://drive.google.com/u/0/open?usp=forms_web&id=1Hd25TMm_3H9wYf2Py1dXB-oEGWjiNWKb	Albuquerque, US	35.0841034	-106.650985
https://drive.google.com/u/0/open?usp=forms_web&id=1meCbYYZnwAjfP2XHGvDuwpBkx7FmzEmQ	Village of Suffern, US	41.1151372	-74.1493948
https://drive.google.com/u/0/open?usp=forms_web&id=1KWDdFDNd8Psjl1gIqBboQ3XVTTHwSRzJ	Undefined, IN	28.6273928	77.1716954
https://drive.google.com/u/0/open?usp=forms_web&id=1P4N3Dah6XXRJbm72zY3cqm-6v_H_1UzB	London, GB	51.5074456	-0.1277653
https://drive.google.com/u/0/open?usp=forms_web&id=1j9bRoywvksKbuFMY3DfG2PDOQIgIEHxY	Undefined, US	44.4604931	-89.5108818
https://drive.google.com/u/0/open?usp=forms_web&id=1ye3DMqlFNdJjPNf_1JmOLYZWA-kQuGDd	Austin, US	30.2711286	-97.7436995
https://drive.google.com/u/0/open?usp=forms_web&id=1I7H1k3wUQJScBlpctF0fQ90-hMGfWSTp	Iowa City, US	41.6612561	-91.5299106
https://drive.google.com/u/0/open?usp=forms_web&id=1ct8BxU8xKZjLC6CrS7RURzTm3vtYdeX_	Undefined, BR	-22.9110137	-43.2093727
https://drive.google.com/u/0/open?usp=forms_web&id=1gGbaM18kcBqRYtC_EFuwbrAPSrgyRBEg	St. Augustine, US	40.7183728	-90.4109616
https://drive.google.com/u/0/open?usp=forms_web&id=1wGt6hLoB-ew1AtR9GUAL8d_zAnLvRh4S	Holyoke, US	42.2071184	-72.6075851
https://drive.google.com/u/0/open?usp=forms_web&id=1UYDrElbBrcfK2G4G4SmWyJ9CZQclxFpw	Thành phố Hạ Long, VN	20.942463	107.1236048
https://drive.google.com/u/0/open?usp=forms_web&id=1vn1dsJZ2zqR7jGDRftDsCBCuTXttf1_Q	Lawrenceburg, US	38.0371378	-84.8962551
https://drive.google.com/u/0/open?usp=forms_web&id=1Zku8sO05xSgcZHJ67JTzGjU-GhbPcYP2	Undefined, US	39.7837304	-100.445882
https://drive.google.com/u/0/open?usp=forms_web&id=1EA8RqRvK0HmJPxjY2G0fMZ2Ibz1ehKXE	Perimetro Urbano Pereira, CO	4.8143159	-75.6946778
https://drive.google.com/u/0/open?usp=forms_web&id=1WrYaQXnD26-IoVpG235ZKqy5sAQYm4Uu	Undefined, US	36.7014631	-118.755997
https://drive.google.com/u/0/open?usp=forms_web&id=1qh-j_-CCk93gPrDFoMnDwcEYGmk9GHQ0	Undefined, US	43.2484584	-86.129351
https://drive.google.com/u/0/open?usp=forms_web&id=1BKUpKvUYFcbuOopOiwEoRo2_9SOEaybF	Undefined, US	39.7837304	-100.445882
