"Informazioni cronologiche","Upload a photo of the view from your window","In which city do you live?","Insert your Worker ID"
"2022/06/13 11:29:35 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1eeccqrnLfQGVnk5HdH9CM6UgGOMDYrmX","Oakland, CA","AFDQ9MCITLN0F"
"2022/06/13 11:29:59 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1dLCW9Tdi_sr9W6GnVMOFvuJNe0SpniDr","apopka","A4DP9QI2225WM"
"2022/06/13 11:41:32 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1wd3xQ-zivwAYmVKlq9hgdiv9U2qYhWAU","Italy","A31SE96I6NXHJR"
"2022/06/13 11:51:04 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1MW5oqij7OS0FVP44haBXfoqVNMZUTQUW","sunnyvale","A2BF2FUO6F63N7"
"2022/06/13 11:53:13 PM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1Qjgqc_hVnAmQbVD8ho41FtZEY7nm8EWc","Mesquite","A1K581IY10MNC0"
"2022/06/14 12:00:00 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1AZV3aUyRJzpEGbb81n0AwVkoz0miCOKx","Owenton, KY","A5NLYT4VMOMLY"
"2022/06/14 12:02:28 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1q6uqN_gP3rpkWRfAvrVEs5wMdvCGvqyv","MADURAI","A3329OQT52I6TJ"
"2022/06/14 12:07:08 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1X1sBqg2W3M2Pz8Y_JgUW55y2ykMpD8bW","Stamford","AN45KLUESX3NY"
"2022/06/14 12:15:10 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1c_Cst7VDz3LNrQZy7WU-zUu3gmcQYqLS","Chillicothe ","AHM9DHGQ3SP98"
"2022/06/14 12:16:37 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1v3ZlzpWYQJwF4jI_fKl0pqNuhwxcH4zP","Lacey","A1FCVRUL7RA857"
"2022/06/14 12:16:42 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1modSxHstSrpPYTvdJ_qP33QyTQNio8ms","Los Angeles","ASD9BJDOZQVMO"
"2022/06/14 12:18:52 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1iMuy8nlzmebLQv3ZxNGFiw_Y2BqTMcUz","Lakewood","A3OTJUDWSKZYLO"
"2022/06/14 12:28:14 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1zgMwMzcrExwy-6SVbkGAFkcKRkVe-CBm","Goiânia, GO, BR","A3GUJ31ZEYDUBC"
"2022/06/14 12:28:51 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1nXpH7sGJT4E8r6e5k9UWCMJY-j8yh9TC","Bronx","AORY9P6FEMARH"
"2022/06/14 12:36:32 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1Q1NpA9Kp4VqMDefdqy9NerQDi2ceje4-","New Jersey","AIJWQEWO9PTR7"
"2022/06/14 12:42:24 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1FpZGokw6kJkCqYyGDNbNvh6SauoRFyUL","Natal-RN","ALVV6H3CSB5IO"
"2022/06/14 12:51:59 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1csnksKgddUI92vCKC6lopPhQoGs5Ut-h","rio de janeiro","APPU3QLC0TEHI"
"2022/06/14 12:56:08 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1xUb-AgBM7zcBDly8_7UyOb2xzqg4j5-t","Praia Grande","AK1R9J8CD04Q1"
"2022/06/14 1:15:04 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1i5keQj68k6VIyDVfwi_Pa3YyGz5djpGL","Fairfield, CT","AFHD81VGCBAUJ"
