img	city	Latitude	Longitude
https://drive.google.com/u/0/open?usp=forms_web&id=1MW5oqij7OS0FVP44haBXfoqVNMZUTQUW	Sunnyvale, US	37.3688301	-122.036349
https://drive.google.com/u/0/open?usp=forms_web&id=1Qjgqc_hVnAmQbVD8ho41FtZEY7nm8EWc	Mesquite, US	32.7666103	-96.599472
https://drive.google.com/u/0/open?usp=forms_web&id=1AZV3aUyRJzpEGbb81n0AwVkoz0miCOKx	Owenton, US	38.536456	-84.8418926
https://drive.google.com/u/0/open?usp=forms_web&id=1q6uqN_gP3rpkWRfAvrVEs5wMdvCGvqyv	Madurai, IN	9.9261153	78.1140983
https://drive.google.com/u/0/open?usp=forms_web&id=1X1sBqg2W3M2Pz8Y_JgUW55y2ykMpD8bW	Stamford, US	41.0534302	-73.5387341
https://drive.google.com/u/0/open?usp=forms_web&id=1c_Cst7VDz3LNrQZy7WU-zUu3gmcQYqLS	Chillicothe, US	39.3331197	-82.9824019
https://drive.google.com/u/0/open?usp=forms_web&id=1v3ZlzpWYQJwF4jI_fKl0pqNuhwxcH4zP	Lacey, US	47.0263876	-122.8072257
https://drive.google.com/u/0/open?usp=forms_web&id=1modSxHstSrpPYTvdJ_qP33QyTQNio8ms	Los Angeles, US	34.0536909	-118.242766
https://drive.google.com/u/0/open?usp=forms_web&id=1iMuy8nlzmebLQv3ZxNGFiw_Y2BqTMcUz	Lakewood, US	39.7085736	-105.0846694
https://drive.google.com/u/0/open?usp=forms_web&id=1zgMwMzcrExwy-6SVbkGAFkcKRkVe-CBm	Goiânia, BR	-16.680882	-49.2532691
https://drive.google.com/u/0/open?usp=forms_web&id=1nXpH7sGJT4E8r6e5k9UWCMJY-j8yh9TC	City of New York, US	40.8466508	-73.8785937
https://drive.google.com/u/0/open?usp=forms_web&id=1Q1NpA9Kp4VqMDefdqy9NerQDi2ceje4-	Undefined, US	40.0757384	-74.4041622
https://drive.google.com/u/0/open?usp=forms_web&id=1FpZGokw6kJkCqYyGDNbNvh6SauoRFyUL	Natal, BR	-5.8821365	-35.1722172
https://drive.google.com/u/0/open?usp=forms_web&id=1csnksKgddUI92vCKC6lopPhQoGs5Ut-h	Rio de Janeiro, BR	-22.9110137	-43.2093727
https://drive.google.com/u/0/open?usp=forms_web&id=1xUb-AgBM7zcBDly8_7UyOb2xzqg4j5-t	Praia Grande, BR	-24.005833	-46.402778
https://drive.google.com/u/0/open?usp=forms_web&id=1i5keQj68k6VIyDVfwi_Pa3YyGz5djpGL	Undefined, US	41.2943069	-73.37486
https://drive.google.com/u/0/open?usp=forms_web&id=1dbZ5b8lqd348MKBrYv1S82PQcVqanZ0Z	Saint-Lambert, CA	48.95208785	-79.43778803643463
https://drive.google.com/u/0/open?usp=forms_web&id=1oT3qdphQOEJaRLxd29SOedRiEhu9DgRa	Columbus, US	39.9622601	-83.0007065
https://drive.google.com/u/0/open?usp=forms_web&id=1xeKXdQq86X6NmWXXdghCGOfLETteOctm	Sarasota, US	27.3365805	-82.5308545
https://drive.google.com/u/0/open?usp=forms_web&id=18pbzFzGA-sZd-yM7S0pBFq9x4O4eKiph	Undefined, IN	18.9068356	75.6741579
https://drive.google.com/u/0/open?usp=forms_web&id=1M5AWITFCvsSqNXtRBekqrrPrZw-Moni8	Undefined, US	39.7837304	-100.445882
